image_path,label
9_0_9_z_0_1849.png,9
9_0_9_z_0_6500.png,9
9_7_9_2.png,9
9_0_9_z_0_828.png,9
9_0_9_w_0_7168.png,9
9_0_9_h_0_7566.png,9
9_0_9_w_0_174.png,9
9_0_9_h_0_3821.png,9
9_0_9_w_0_6580.png,9
9_0_9_w_0_8087.png,9
9_0_9_w_0_2134.png,9
9_4_9_3.png,9
9_0_9_h_0_8991.png,9
9_0_9_w_0_7716.png,9
9_0_9_h_0_9694.png,9
9_5_9_40.png,9
9_0_9_h_0_3470.png,9
9_0_9_b_0_6917.png,9
9_5_9_20.png,9
9_0_9_h_0_2805.png,9
9_0_9_b_0_4169.png,9
9_0_9_w_0_4318.png,9
9_2_9_21.png,9
9_0_9_ro_0_2203.png,9
9_4_9_11.png,9
9_0_9_b_0_364.png,9
9_0_9_b_0_2444.png,9
9_0_9_w_0_4173.png,9
9_0_9_ro_0_4445.png,9
9_7_9_25.png,9
9_7_9_11.png,9
9_0_9_w_0_9677.png,9
9_0_9_b_0_5536.png,9
9_0_9_ro_0_7950.png,9
9_0_9_z_0_9006.png,9
9_0_9_w_0_3508.png,9
9_0_9_b_0_9728.png,9
9_3_9_14.png,9
9_0_9_ro_0_3477.png,9
9_0_9_ro_0_2735.png,9
9_0_9_h_0_2836.png,9
9_0_9_ro_0_3066.png,9
9_0_9_z_0_4515.png,9
9_0_9_ro_0_1871.png,9
9_2_9_22.png,9
9_0_9_ro_0_6311.png,9
9_0_9_z_0_7984.png,9
9_0_9_w_0_7072.png,9
9_0_9_h_0_9236.png,9
9_0_9_b_0_7689.png,9
9_0_9_ro_0_3759.png,9
9_0_9_ro_0_309.png,9
9_7_9_4.png,9
9_0_9_h_0_3229.png,9
9_0_9_h_0_8525.png,9
9_0_9_h_0_6372.png,9
9_0_9_w_0_7760.png,9
9_0_9_z_0_6814.png,9
9_0_9_w_0_1524.png,9
9_0_9_w_0_6925.png,9
9_0_9_ro_0_2214.png,9
9_0_9_z_0_9576.png,9
9_0_9_b_0_133.png,9
9_3_9_11.png,9
9_0_9_z_0_6064.png,9
9_0_9_ro_0_5079.png,9
